,idd,zoom,xtile,ytile,topleft_x,topleft_y,bottomright_x,bottomright_y
id41,41,19,158643,193926,-71.06849670410156,42.35549949225654,-71.06781005859375,42.35499207371046
id42,42,19,158643,193927,-71.06849670410156,42.35499207371046,-71.06781005859375,42.354484651067445
id43,43,19,158643,193928,-71.06849670410156,42.354484651067445,-71.06781005859375,42.35397722432751
id44,44,19,158643,193929,-71.06849670410156,42.35397722432751,-71.06781005859375,42.353469793490646
id45,45,19,158643,193930,-71.06849670410156,42.353469793490646,-71.06781005859375,42.35296235855688
id46,46,19,158643,193931,-71.06849670410156,42.35296235855688,-71.06781005859375,42.3524549195262
id47,47,19,158643,193932,-71.06849670410156,42.3524549195262,-71.06781005859375,42.351947476398635
id48,48,19,158644,193925,-71.06781005859375,42.35600690670569,-71.06712341308594,42.35549949225654
id49,49,19,158644,193926,-71.06781005859375,42.35549949225654,-71.06712341308594,42.35499207371046
id50,50,19,158644,193927,-71.06781005859375,42.35499207371046,-71.06712341308594,42.354484651067445
id51,51,19,158644,193928,-71.06781005859375,42.354484651067445,-71.06712341308594,42.35397722432751
id52,52,19,158644,193929,-71.06781005859375,42.35397722432751,-71.06712341308594,42.353469793490646
id53,53,19,158644,193930,-71.06781005859375,42.353469793490646,-71.06712341308594,42.35296235855688
id54,54,19,158644,193931,-71.06781005859375,42.35296235855688,-71.06712341308594,42.3524549195262
id55,55,19,158644,193932,-71.06781005859375,42.3524549195262,-71.06712341308594,42.351947476398635
id56,56,19,158645,193925,-71.06712341308594,42.35600690670569,-71.06643676757812,42.35549949225654
id57,57,19,158645,193926,-71.06712341308594,42.35549949225654,-71.06643676757812,42.35499207371046
id58,58,19,158645,193927,-71.06712341308594,42.35499207371046,-71.06643676757812,42.354484651067445
id59,59,19,158645,193928,-71.06712341308594,42.354484651067445,-71.06643676757812,42.35397722432751
id60,60,19,158645,193929,-71.06712341308594,42.35397722432751,-71.06643676757812,42.353469793490646
id61,61,19,158645,193930,-71.06712341308594,42.353469793490646,-71.06643676757812,42.35296235855688
id62,62,19,158645,193931,-71.06712341308594,42.35296235855688,-71.06643676757812,42.3524549195262
id63,63,19,158645,193932,-71.06712341308594,42.3524549195262,-71.06643676757812,42.351947476398635
id64,64,19,158646,193925,-71.06643676757812,42.35600690670569,-71.06575012207031,42.35549949225654
id65,65,19,158646,193926,-71.06643676757812,42.35549949225654,-71.06575012207031,42.35499207371046
id66,66,19,158646,193927,-71.06643676757812,42.35499207371046,-71.06575012207031,42.354484651067445
id67,67,19,158646,193928,-71.06643676757812,42.354484651067445,-71.06575012207031,42.35397722432751
id68,68,19,158646,193929,-71.06643676757812,42.35397722432751,-71.06575012207031,42.353469793490646
id69,69,19,158646,193930,-71.06643676757812,42.353469793490646,-71.06575012207031,42.35296235855688
id70,70,19,158646,193931,-71.06643676757812,42.35296235855688,-71.06575012207031,42.3524549195262
id71,71,19,158646,193932,-71.06643676757812,42.3524549195262,-71.06575012207031,42.351947476398635
id72,72,19,158647,193925,-71.06575012207031,42.35600690670569,-71.0650634765625,42.35549949225654
id73,73,19,158647,193926,-71.06575012207031,42.35549949225654,-71.0650634765625,42.35499207371046
id74,74,19,158647,193927,-71.06575012207031,42.35499207371046,-71.0650634765625,42.354484651067445
id75,75,19,158647,193928,-71.06575012207031,42.354484651067445,-71.0650634765625,42.35397722432751
id76,76,19,158647,193929,-71.06575012207031,42.35397722432751,-71.0650634765625,42.353469793490646
id77,77,19,158647,193930,-71.06575012207031,42.353469793490646,-71.0650634765625,42.35296235855688
id78,78,19,158647,193931,-71.06575012207031,42.35296235855688,-71.0650634765625,42.3524549195262
id79,79,19,158647,193932,-71.06575012207031,42.3524549195262,-71.0650634765625,42.351947476398635
id80,80,19,158648,193925,-71.0650634765625,42.35600690670569,-71.06437683105469,42.35549949225654
id81,81,19,158648,193926,-71.0650634765625,42.35549949225654,-71.06437683105469,42.35499207371046
id82,82,19,158648,193927,-71.0650634765625,42.35499207371046,-71.06437683105469,42.354484651067445
id83,83,19,158648,193928,-71.0650634765625,42.354484651067445,-71.06437683105469,42.35397722432751
id84,84,19,158648,193929,-71.0650634765625,42.35397722432751,-71.06437683105469,42.353469793490646
id85,85,19,158648,193930,-71.0650634765625,42.353469793490646,-71.06437683105469,42.35296235855688
id86,86,19,158648,193931,-71.0650634765625,42.35296235855688,-71.06437683105469,42.3524549195262
id87,87,19,158648,193932,-71.0650634765625,42.3524549195262,-71.06437683105469,42.351947476398635
id88,88,19,158649,193925,-71.06437683105469,42.35600690670569,-71.06369018554688,42.35549949225654
id89,89,19,158649,193926,-71.06437683105469,42.35549949225654,-71.06369018554688,42.35499207371046
id90,90,19,158649,193927,-71.06437683105469,42.35499207371046,-71.06369018554688,42.354484651067445
id91,91,19,158649,193928,-71.06437683105469,42.354484651067445,-71.06369018554688,42.35397722432751
id92,92,19,158649,193929,-71.06437683105469,42.35397722432751,-71.06369018554688,42.353469793490646
id93,93,19,158649,193930,-71.06437683105469,42.353469793490646,-71.06369018554688,42.35296235855688
id94,94,19,158649,193931,-71.06437683105469,42.35296235855688,-71.06369018554688,42.3524549195262
id95,95,19,158649,193932,-71.06437683105469,42.3524549195262,-71.06369018554688,42.351947476398635
